;marca;preco
84;Cadeira DT3 Nero, Até 150kg,  Com Almofada, Reclinável, Descanso de Braço 4D, Preto e Roxo  - 13547-0;R$ 1.299,99
85;Cadeira Gamer, Prizi, Infinity, Até 150Kg, inclinação multifuncional  - Amarela;R$ 359,90
86;Cadeira Gamer XT Racer Viking Series, Até 120kg, Com Almofadas e Apoio de Pés, Reclinável, Descanso de Braço 3D, Preto e Vermelho - XTR-026;R$ 1.039,99
87;Cadeira Gamer DT3 Elise Fabric, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 1D, Preto e Cinza - 13445-7;R$ 949,99
88;Cadeira Gamer Mymax MX5, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Branco e Verde - MGCH-MX5/GRWH;R$ 649,99
89;Cadeira Gamer Mymax MX7, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Verde - MGCH-002/GR;R$ 629,99
90;Cadeira Gamer DT3 Elise, Até 130 Kg, com Almofadas, Reclinável, Preto e Azul - 13437-8;R$ 929,99
91;Cadeira Gamer Mymax Mx0, Suporta Até 120kg, Giratória, Preto E Branco;R$ 338,30
92;Cadeira Gamer DT3 Módena, Até 140 kg, Com Almofadas, Apoio de Braço 3D+, Reclinável, Dark Grey - 13786-5;R$ 1.149,99
93;Cadeira Gamer Alpha Gamer Phenix Fabric, Tecido, Até 150kg, Apoio de Braço 4D, Reclinável, Preto e Azul - AGPHENIX-F-GRY-BK-BL;R$ 1.579,99
94;Cadeira Gamer Fortrek Black Hawk Black - 70508;R$ 759,99
95;Cadeira Gamer Mymax MX5, Até 150Kg, com Ajuste de altura, Giratória, Branco e Roxo - MGCH-MX5/PRWH;R$ 729,99
96;Cadeira Gamer Mymax MX0, Peso Suportado até 120Kg, Giratória, Preto e Rosa - Mgch-mx0/pk;R$ 338,30
97;Cadeira Gamer Alpha Gamer Nebula Fabric,  Até 150 kg, Apoio de Braço 4D, Reclinável, Cinza e Azul - AGNEBULA-GRY-BL;R$ 1.099,99
98;Cadeira Gamer ThunderX3 BC3, Black e Red- 67992;R$ 999,99
99;Cadeira Gamer Noblechairs Epic Copper Limited Edition, Preta/Cobre - PGW-NB-EGC-016;R$ 2.199,99
100;Cadeira Gamer Elements Magna, até 150 kg, Ergonômica, De Tecido, Preto;R$ 2.435,90
101;Cadeira Gamer PCYes Mad Racer V16, Black - MADV16PTCSDG;R$ 1.649,99
102;Cadeira Gamer Prizi Runner, Até 120Kg, Branca;R$ 359,90
103;Cadeira Gamer Husky Gaming Storm, Preto e Verde, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BG;R$ 659,99
104;Cadeira Gamer DT3 Mizano Fabric, Até 110 kg, Com Almofadas, Apoio de Braço 3D+, Reclinável, Preto - 13796-6;R$ 1.099,99
105;Cadeira Gamer Mymax MX7, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Rosa - MGCH-002V1/PK;R$ 629,99
106;Cadeira Gamer Corsair TC200, Até 120Kg, Apoio de Braços 4D, Com Almofadas, Reclinável, Cilindro de Gás Classe 4, Cinza - CF-9010045-WW;R$ 1.499,99
107;Cadeira Gamer DT3 Elise Fabric, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Vermelho - 13446-8;R$ 929,99
108;Cadeira Gamer Alpha Gamer Vega, Preto e Azul, Reclinável, com Almofadas, Cilindro de Gás Classe 4;R$ 719,99
109;Cadeira Gamer ThunderX3 BC3 Camo/CZ, Black Hawk - 67994;R$ 999,99
110;Cadeira Gamer Prizi, PZ1005, Suporta Até 120kg, Vermelha;R$ 399,90
111;Cadeira Gamer MX6, Giratória, Azul e Preto, Mymax;R$ 549,44
112;Cadeira Gamer Draxen DN2, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto - DN002/BK;R$ 599,99
113;Cadeira Gamer Noblechairs Hero, Black - NBL-HRO-PU-BLA;R$ 2.099,99
114;Cadeira Gamer PCYes Mad Racer STI Turbo Black Vulcan, Até 120kg, Reclinável, Preto - MRSTIR10PT;R$ 574,99
115;Cadeira Gamer Husky Gaming Blizzard 900, Preto e Azul, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA087;R$ 949,99
116;Cadeira Gamer DT3 Elise Fabric, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Azul - 13444-6;R$ 899,99
117;Cadeira Gamer Elite V2 Dazz, Até 100kg, Preta, 62000148;R$ 599,90
118;Cadeira Gamer Alpha Gamer Vega, Até 150Kg, Cilindro de Gás 4,  Braço Ajustável, Preto e Laranja;R$ 719,99
